"Abbitt, W. H"
"Borchard, Edwin Montefiore, 1884-1951"
"Bordin, Ruth Birgitta Anderson, 1917-"
"Boren, John"
"Boring, Edwin Garrigues, 1886-1968"
"Borman, Abraham"
"Borman, Nancy"
"Borman, Paul"
"Born, Max, 1882-1970"
"Borup, Charles William Wulff, 1806-1859"
"Bose, Jagadis Chandra, 1858-1937"
"Bose, Jagadis Chandra, Sir, 1858-1937"
"Bose, Sudhindra, 1883-"
"Boston, Orlan W. (Orlan William), 1891-"
"Boston, William"
"Boucke, Ewald A. (Ewald Augustus), 1871-"
"Boudeman, Dallas"
"Boulding, Elise"
"Boulding, Kenneth Ewart, 1910-"
"Bourjaily, Vance Nye"
"Bourne, Henry Eldridge, 1862-1946"
"Bourne, Jonathan, 1855-1940"
"Bourquin, Alice, 1909-1995"
"Bourquin, Jessie, 1909-1999"
"Bouscaren, Anthony Trawick"
"Boutroux, Etienne E. (Etienne Émile), 1845-1921"
"Bowen, Ira Sprague, 1898-1973"
"Bowen, John Edmund"
"Bowen, Lydia Graves"
"Bowen, Ralph"
"Bowers, Claude Gernade, 1879-1958"
"Bowie, W. Copeland (William Copeland)"
"Bowie, Walter Russell, 1882-1969"
"Bowker, R. R. (Richard Rogers), 1848-1933"
"Bowler, Mary Summers"
"Bowles, Charles, 1884-1957"
"Bowles, Chester, 1901-"
"Bowles, Chester, 1901-1986"
"Bowles, George Edward, 1915-"
"Bowman, John T., 1921-"
"Boyarski, Dick"
"Boyce, Gray Cowan, 1899-1981"
"Boyd, Carrie Lucy, 1864-1949"
"Boyd, Irving Payson, 1851-1923"
"Boyd, Julian P. (Julian Parks), 1903-"
"Boyd, William Augustus, 1785-1854"
"Boyd, William H. (William Hart), 1811-1898"
"Boyer, Joseph, 1848-1930"
"Boyle, William M"
"Boyles, Emerson R., 1881-1960"
"Boys, Richard Charles, 1912-"
"Brace, C. Loring"
"Bradbury, James Ware, 1802-1901"
"Bradbury, Norris Edwin, 1909-"
"Bradby, Robert L"
"Braddock, Jim"
"Braden, Marguerite Martindale"
"Bradfield, Elizabeth Palmer"
"Bradford, Gamaliel, 1863-1932"
"Bradley, Frederick Van Ness, 1898-1947"
"Bradley, James Bray, b. 1858"
"Bradley, Omar Nelson, 1893-1981"
"Bradley, Richard"
"Bradley, Ronald"
"Bradner, C. C"
"Bradshaw, John William, 1878-"
"Brady, James"
"Brady, Mathew B., 1823 (ca.)-1896"
"Bragdon, Claude Fayette, 1866-1946"
"Bragg, Lawrence Sir, 1890-1971"
"Bragg, William Henry, Sir, 1862-1942"
"Brake, D. Hale, 1891-"
"Brake, Eunice M. (Eunice Minetta), 1906-"
"Brameld, Theodore Burghard Hurt, 1904-"
"Brams, Stanley W., 1910-"
"Branch, Anna Hempstead, 1875-1937"
"Branch, E. L"
"Branch, Margaret"
"Brandeis, Louis Dembitz, 1856-1941"
"Brandon, Arthur Leon"
"Brandt, Richard B"
"Brandt, Willy, 1913-"
"Brasch, Frederick E. (Frederick Edward), 1875-1967"
"Brashares, Charles W., 1891-1982"
"Brasie, Geraldine"
"Brater, Elizabeth S"
"Brauckmann, Karl"
"Braxton, Anthony"
"Bray, Everett Lewis, 1864-"
"Brazer, Harvey Elliot, 1922-"
"Brazer, Marjorie Cahn"
"Breakey, James Ritchison, 1900-1969"
"Breakey, William Fleming, 1835-1915"
"Breasted, James Henry, 1865-1935"
"Brecken, Clarence E., 1893-1983"
"Brecken, Jennie Bentley, 1892-1988"
"Breckinbridge, John Bayne, 1913-"
"Breckinridge, Sophonisba Preston, 1866-1948"
"Bredernitz, Albert"
"Bredig, Georg, b. 1868"
"Bredvold, Louis I. (Louis Ignatius), b. 1888"
"Brennan, John V., 1872-1971"
"Brennan, Thomas E"
"Brennan, William J. (William Joseph), 1906-1997"
"Brenneman, Hugh W"
"Brent, Charles Henry, 1862-1929"
"Brentano, Theodore"
"Bretschneider, Kathryn"
"Brett, Dorothy, 1883-1977"
"Brewer, Chauncy M. (Chauncy Marble), 1814-1889"
"Brewer, Helen"
"Brewster, James Henry, 1856-1920"
"Brewster, Owen, 1884-"
"Brewster, Ralph O"
"Bricker, John W. (John William), 1893-1986"
"Brickley, James E., 1927-"
"Bridenbaugh, Carl"
"Bridge, Samuel J"
"Bridges, Robert Seymour, 1844-1930"
"Bridges, Styles, 1898-"
"Bridges, Styles, 1898-1961"
"Bridgman, Howard Allen, 1860-1929"
"Bridgman, P. W. (Percy Williams), 1882-1961"
"Briggs, Le Baron Russell, 1855-1934"
"Briggs, Robert D"
"Briggs, Robert Peter, 1903-"
"Briggs, Walter Owen, 1877-1952"
"Brigham, Charles H. (Charles Henry), 1820-1879"
"Brigham, Charles Henry, 1820-1879"
"Brigham, Edward Morris"
"Brigham, George Bickford, 1889-"
"Brightman, Edgar Sheffield, 1884-1953"
"Brinkerhoff, James F"
"Bristol, Mark L. (Mark Lambert), 1868-1939"
"Bristow, Gwen, 1903-"
"Brittain, Vera, 1893-1970"
"Britton, Allen Perdue"
"Britton, Frank"
"Britton, Frederic H"
"Broaddus, B. F"
"Brode, Robert B., 1900-"
"Brode, Wallace R. (Wallace Reed), 1900-"
"Brodhead, Thornton F., d. 1862"
"Brodsky, Joseph, 1940-1996"
"Broek, Christina S"
"Broek, Dirk"
"Brogan, D. W. (Denis William), 1900-1974"
"Bromage, Arthur W. (Arthur Watson), 1904-1979"
"Bromage, Mary Cogan"
"Bronson, Titus, 1788-1853"
"Bronte, Lydia, 1938-"
"Brook, Jacob D. (Jacob Daniel), 1876-1956"
"Brooke, Edward William, 1919-"
"Brookhart, Smith Wildman, 1869-1944"
"Brookings, W. W"
"Brooks, Datus C"
"Brooks, Earnest C"
"Brooks, John W"
"Brooks, Paul"
"Brooks, Phillips, 1835-1893"
"Brooks, Stratton D. (Stratton Duluth), 1869-1949"
"Brooks, Van Wyck, 1886-1963"
"Broun, Heywood, 1888-1939"
"Browder, Earl, 1891-1973"
"Browder, Olin L"
"Brower, David Ross, 1912-"
"Brower, W. W. (Willis W.)"
"Brown, A. Josephine"
"Brown, Al, 1947-"
"Brown, Arthur, 1864-1932"
"Brown, Barnum"
"Brown, Catherine"
"Brown, Clarence J., 1893-1965"
"Brown, Cora Pulcipher"
"Brown, Curtis"
"Brown, Donald R., 1925-"
"Brown, Dugald E. S., 1901-"
"Brown, Edmund G. (Edmund Gerald), 1905-"
"Brown, Edmund G. (Edmund Gerald), 1905-1996"
"Brown, Elizabeth Gaspar, 1913-"
"Brown, Elmer Ellsworth, 1861-1934"
"Brown, Everett Somerville, 1886-1964"
"Brown, Francis, 1903-"
"Brown, Frank R"
"Brown, Garry Eldridge, 1923-"
"Brown, George Granger, 1896-"
"Brown, Glenora W"
"Brown, Gordon C. (Gordon Campbell), 1912-1975"
"Brown, Harry J"
"Brown, Henry B., 1847-1917"
"Brown, Henry Billings, 1836-1913"
"Brown, Henry D., 1910-"
"Brown, James A., ca. 1888-1951"
"Brown, James J"
"Brown, Joe E. (Joe Evan), 1892-"
"Brown, John Seely"
"Brown, Joseph W., 1793-1880"
"Brown, Julia Clarice"
"Brown, Mabel"
"Brown, Mabel Delia"
"Brown, Muriel Buck Humphrey"
"Brown, Philip Marshall, 1875-"
"Brown, Prentiss M. (Prentiss Marsh), 1889-1973"
"Brown, Prentiss Marsh, 1888-1973"
"Brown, Prentiss Marsh, 1889-1973"
"Brown, Reese P"
"Brown, Sanford Abbott, 1909-"
"Brown, Solomon, 1757-1815"
"Brown, W. C. (William Carlos), 1853-1924"
"Brown, Walter Folger, 1869-1961"
"Brown, William Ellis, 1896-1970"
"Brown, William Henry, b. 1812"
"Brown, William S., 1821-1891"
"Brown, Winifred Croel, 1886-1976"
"Browne, Anita"
"Browne, Harry, 1933-2006"
"Browne, Sarah Mills Gayley"
"Brownell, Esther Delzell, 1902-1991"
"Brownell, Herbert, 1904-"
"Brownell, Lloyd E. (Lloyd Earl), 1915-"
"Brownell, Samuel Miller, 1900-"
"Brownlow, Louis, b. 1879"
"Brownmiller, Susan"
"Brownrigg, William, 1893-1969"
"Brownson, William T"
"Brubaker, C. B"
"Bruce, David Kirkpatrick Este"
"Bruce, David, 1855-1931"
"Bruce, E. D"
"Bruce, James D. (James Deacon), 1872-1946"
"Bruch, Max, 1838-1920"
"Brucker, Clara H"
"Brucker, Ferdinand, 1858-1904"
"Brucker, Robert Hawn, 1888-1967"
"Brucker, Roberta Hawn, 1859-1939"
"Brucker, Wallace H"
"Brucker, Wilber Marion, 1894-1968"
"Brucker, William Marion, 1894-1968"
"Bruff, John B. (John Bowman), 1929-"
"Brumm, John Lewis, 1878-1958"
"Brundage, Ray O., 1881-"
"Bruneau, Alfred, 1857-1934"
"Brush, Katharine, 1902-1952"
"Bryan, William Jennings, 1860-1925"
"Bryan, William Lowe, 1860-1955"
"Bryant, Bunyan I"
"Bryant, Everett"
"Bryant, John Howard, 1807-1902"
"Bryce, James Bryce, Viscount, 1838-1922"
"Brée, Germaine"
"Brödel, Max, 1870-1941"
"Bröunnow, F. (Franz), 1821-1891"
"Brüll, Ignaz, 1846-1907"
"Brünnow, F. (Franz), 1821-1891"
"Bstan-Ädzin-rgya-mtsho, Dalai Lama XIV, 1935-"
"Buchanan, Frank Robert"
"Buchanan, James, 1791-1868"
"Buchanan, Ruth B., 1882-1953"
"Buchele, Luther"
"Buchele, Luther H., 1920-"
"Buchwald, Art"
"Buck, Andrew Newton, b. 1839"
"Buck, Bea"
"Buck, Charles W"
"Buck, Curtis, b. 1841"
"Buck, Gertrude, 1871-1922"
"Buck, Myron"
"Buck, Norman"
"Buck, Pearl S. (Pearl Sydenstricker), 1892-1973"
"Buck, Solon Justus, 1884-1962"
"Buck, Susan Field"
"Buckbee, Henry Cheever"
"Buckbee, Julian Edward"
"Buckler, Aldred S., d. 1963"
"Buckley, Edward, b. 1842"
"Buckley, L. Paul"
"Buckley, William F. (William Frank), 1925-"
"Buckley, William F. (William Frank), Jr., 1925-2008"
"Buckner, Simon Bolivar, 1823-1914"
"Budge, E. A. Wallis (Ernest Alfred Wallis), Sir, 1857-1934"
"Buel, Alexander Woodruff, 1813-1868"
"Buell, Barber G., 1823-1900"
"Buell, J. Joseph"
"Buell, Jennie"
"Buell, Lincoln E., 1864-"
"Buell, Mahlon"
"Bugher, John Clifford, 1901-"
"Bulkley, Harry C. (Harry Conant), b. 1870"
"Bull, Frances E"
"Bullard, Perry"
"Bullock, Charles Jesse, 1869-1941"
"Bully, Norman W., 1912-"
"Bumgardner, Eleanor M. (Eleanor Margaret)"
"Bump, Orrin"
"Bumpus, Hermon Carey, 1862-1943"
"Bunche, Ralph J. (Ralph Johnson), 1904-1971"
"Bundy, Edgar C"
"Bundy, McGeorge"
"Buning, Harm Leopold"
"Bunker, Ellsworth, 1894-"
"Bunker, Robert Emmet, b. 1848"
"Burbank, Luther, 1849-1926"
"Burchard, Samuel D., 1812-1891"
"Burdett, Winston, 1913-"
"Burfiend, George"
"Burgess, Thornton W. (Thornton Waldo), 1874-1965"
"Burgoyne, John"
"Burke, Albert E"
"Burke, Arleigh A., 1901-"
"Burke, Charles Henry, 1861-1944"
"Burke, Edward Raymond, 1880-"
"Burke, Edward Raymond, 1890-"
"Burke, Emory"
"Burke, George James, 1885-1950"
"Burke, Joseph Daniel"
"Burke, Thomas A., 1898-1971"
"Burks, Arthur W. (Arthur Walter), 1915-"
"Burks, Arthur W. (Arthur Walter), 1915-2008"
"Burleigh, Walter Atwood, 1820-1896"
"Burlingame, Garnet J"
"Burmeister, Marguerite"
"Burnett, Arthur W"
"Burnett, Patricia Hill, 1920-"
"Burnham, Daniel Hudson, 1846-1912"
"Burnham, Donald Clemens, 1915-"
"Burnham, William Henry, 1855-1941"
"Burns, James MacGregor"
"Burns, Kevin, 1881-1958"
"Burr, George Lincoln, 1857-1938"
"Burr, George Lindsley, 1889-"
"Burritt, Balley Barton, 1878-1954"
"Burroughs, Elizabeth"
"Burroughs, Robert Eli, 1904-1978"
"Burroughs, William S., 1914-"
"Burrows, Edgar G"
"Burrows, Edwin G. (Edwin Grant), 1891-1958"
"Burrows, Emmeline"
"Burrows, George Lord, b. 1836"
"Burrows, Julius C. (Julius Caesar), 1837-1915"
"Burrows, Lorenzo, 1805-1885"
"Bursley, Gilbert E"
"Bursley, Joseph Aldrich, 1877-1950"
"Burt, Alvin"
"Burt, George"
"Burt, Hiram Austin, b. 1839"
"Burt, John"
"Burt, Solon"
"Burt, William Austin, 1792-1858"
"Burton, C. M. (Clarence Monroe), b. 1853"
"Burton, Carol W"
"Burton, Clarence Monroe, 1853-1932"
"Burton, Ernest De Witt, 1856-1925"
"Burton, Harold H. (Harold Hitz), 1888-1964"
"Burton, Marion Le Roy, 1874-1925"
"Burton, Nina M"
"Burton, Richard, 1861-1940"
"Bush, Barbara, 1925-"
"Bush, George W. (George Walker), 1946-"
"Bush, George, 1924-"
"Bush, Prescott Sheldon, 1895-"
"Bush, Vannevar, 1890-1974"
"Bushnell, George E. (George Edward), 1887-1965"
"Buss, Oscar F"
"Butler of Saffron Walden, Richard Austen Butler, Baron, 1902-"
"Butler, Amos W. (Amos William), 1860-1937"
"Butler, Benjamin F. (Benjamin Franklin), 1818-1893"
"Butler, Charles, 1802-1897"
"Butler, Eleanor"
"Butler, Hal"
"Butler, Hugh Alfred, 1878-1954"
"Butler, Irene Linda Lather"
"Butler, Leslie A"
"Butler, Nicholas Murray, 1862-1947"
"Butler, Orma Fitch"
"Butler, Paul M. (Paul Mulholland), 1905-1961"
"Butler, Pierce"
"Butler, William"
"Butler, William Morgan, 1861-1937"
"Butterfield, George Ernest, 1883-"
"Butterfield, Ira William, 1915-"
"Butterfield, Kenyon L. (Kenyon Leech), 1868-1935"
"Butterfield, Roger Williams, b. 1844"
"Butterfield, W. V"
"Butts, Thomas A"
"Butts, William Henry"
"Butz, Tim"
"Butzel, Henry Magnus, 1871-"
"Byington, S. John, 1937-"
"Byrd, David R"
"Byrd, Harry Flood, 1887-1966"
"Byrd, Letitia"
"Byrd, Letitia J"
"Byrd, Richard Evelyn, 1888-1957"
"Byrnes, James F. (James Francis), 1882-1972"
"Byrnes, James Francis, 1879-1972"
"Cable, George Washington, 1844-1925"
"Cabot, Hugh, 1872-1945"
"Cabot, William Brooks, 1858-1949"
"Cacioppo, George"
"Cadillac, Antoine Laumet de Lamothe, 1658-1730"
"Cadman, S. Parkes (Samuel Parkes), 1864-1936"
"Cady, Alvah P"
"Cady, Burt D., 1874-"
"Cady, Claude Ernest, 1878-1953"
"Cady, George H., 1906-"
"Cagas, Antonio"
"Cagas, Filomena"
"Cage, John"
"Cagney, James, 1899-1986"
"Cain, Elmer I"
"Cain, Harry Pulliam, 1906-"
"Cain, Louise G"
"Cain, Stanley Adair, 1902-"
"Caird, Edward, 1835-1908"
"Cajori, Florian, 1859-1930"
"Calder, Alexander Stirling, 1870-1945"
"Calder, Alexander, 1898-1976"
"Caldwell, Harmon White, 1899-"
"Caldwell, John Tyler, 1911-"
"Caldwell, William E"
"Calhoun, John C. (John Caldwell), 1782-1850"
"Caliver, Ambrose, 1894-1962"
"Callahan, Mary, 1914-"
"Callahan, Patrick Henry, 1866-1940"
"Callow, Laura Carter, 1927-"
"Calmette, Gaston, 1858-1914"
"Cambridge, Godfrey, 1933-1976"
"Cameron, George Glenn, 1905-"
"Cameron, Martha Cavanagh"
"Cameron, Norman, 1896-"
"Cameron, William John, 1879-1955"
"Cammerer, Arno B. (Arno Berthold), b. 1883"
"Campau, Daniel J., 1852-1897"
"Campau, Daniel J., 1852-1927"
"Campau, Louis, 1791-1871"
"Campbell, Albert A"
"Campbell, Angus, 1910-"
"Campbell, B. Hodges"
"Campbell, Caroline Belzora, 1859-1926"
"Campbell, Charles Hotchkiss, 1858-1927"
"Campbell, Colin Percy, 1877-"
"Campbell, Douglas Houghton, 1859-1953"
"Campbell, Edward De Mille, 1863-1925"
"Campbell, Harvey J., 1890-"
"Campbell, Henry M. (Henry Munroe), 1783-1842"
"Campbell, Henry M. (Henry Munroe), 1854-1926"
"Campbell, James V. (James Valentine), 1823-1890"
"Campbell, Jean"
"Campbell, Nellie"
"Campbell, Oscar James, 1879-1970"
"Campbell, Robert A"
"Campbell, Robert Clair, 1870-1945"
"Campbell, Robert H"
"Campbell, Ruth"
"Campbell, Thomas E., b. 1858"
"Campbell, Valeria, 1815-1895"
"Campbell, William Wallace, 1862-"
"Campbell, William, b.1829"
"Canby, Henry Seidel, 1878-1961"
"Canfield, James Hulme, 1847-1909"
"Canham, Don"
"Cannell, Charles F"
"Cannon, Clarence, 1879-1964"
"Cannon, James, 1864-1944"
"Cannon, Joseph Gurney, 1836-1926"
"Cannon, Levi H., b. 1830 or 31"
"Cantor, Nancy"
"Cantril, Hadley, 1906-1969"
"Capehart, Homer E. (Homer Earl), 1897-1979"
"Caplan, Abraham"
"Cappaert, Andrea Lael, 1952-1980"
"Cappaert, Lael"
"Cappaert, LeRoy"
"Capper, Arthur, 1865-1951"
"Carby, Hazel V"
"Cardona, Ana Luisa"
"Cardozo, Benjamin N. (Benjamin Nathan), 1870-1938"
"Cares, Charles W"
"Carey, B. W"
"Carey, Ed"
"Carey, Edward"
"Carey, Harry Westronae, 1850-1911"
"Carey, Henry Westronae, 1850-1911"
"Carey, John"
"Carhart, Henry S. (Henry Smith), 1844-1920"
"Carlisle, Daniel, 1797-1872"
"Carlisle, Francis A"
"Carlisle, Hannah, 1823-1906"
"Carlisle, Joseph L"
"Carlisle, Phyllis"
"Carlisle, William"
"Carlson, Frank, 1893-"
"Carlson, John Roy"
"Carman, Ada MacVicar"
"Carman, George N., 1856-1941"
"Carmichael, Leonard, 1898-"
"Carmichael, Stokely"
"Carnegie, Andrew, 1835-1919"
"Carnegie, Dale, 1888-1955"
"Carnegie, Louise Whitfield, 1857-1946"
"Carpenter, Charles William, 1886-1971"
"Carpenter, Etta"
"Carpenter, Eugenia S"
"Carpenter, Frank W. (Frank Watson), 1871-1938"
"Carpenter, Guy, 1808-1849"
"Carpenter, H. Beach (Hiram Beach), 1892-1955"
"Carpenter, Kurt"
"Carr, Beatrice"
"Carr, Bob, 1943-"
"Carr, H. B"
"Carr, Harvey, 1873-"
"Carr, Lauren Duane"
"Carr, Leland Walker, 1883-"
"Carr, Lowell Juilliard, b. 1885-"
"Carr, Marvin S"
"Carr, Marvin Stearns"
"Carr, Susan E"
"Carr, Wilbur J. (Wilbur John), 1870-1942"
"Carrel, Alexis, 1873-1944"
"Carrera Verdugo, José Miguel, 1785-1821"
"Carrington, Edward"
"Carroll, Eber Malcolm, 1893-1959"
"Carroll, Gladys Hasty, 1904-"
"Carroll, Phil"
"Carrow, Flemming, 1852-1929"
"Carrow, John, 1913-1995"
"Carruth, Hayden, 1862-1932"
"Carson, Gerald"
"Carson, John Joseph, 1889-"
"Carter, Jimmy, 1924-"
"Carter, Thomas M"
"Carton, Augustus C"
"Carton, John J. (John Jay), 1856-1934"
"Cartwright, Dorwin"
"Caruso, Enrico, 1873-1921"
"Carver, George Washington, 1864?-1943"
"Cary, William M"
"Casals, Pablo, 1876-1973"
"Case, Arthur R., 1900-"
"Case, Clifford P. (Clifford Philip), 1904-1982"
"Case, E. C. (Ermine Cowles), b. 1871"
"Case, Francis H. (Francis Higbee), 1896-1962"
"Case, James Herbert, 1906-"
"Case, Leverette N"
"Casey, Genevieve M., 1916-"
"Casey, William R"
"Cash, Norman, 1934-"
"Cash, William L"
"Cash, William Levi, 1915-"
"Cass, Lewis, 1782-1866"
"Cassidy, Jay"
"Cassino, Samuel Edson, 1856-1937"
"Castagnacci, Vincent"
"Castagnacci, Vincent--Exhibitions"
"Castetter, Edward Franklin, 1896-"
"Castle, William R. (William Richards), 1878-1963"
"Cates, Clifton B. (Clifton Bledsoe), 1893-1970"
"Catford, J. C. (John Cunnison), 1917-"
"Cathcart, C. C"
"Cather, Willa, 1873-1947"
"Catlin, George B. (George Byron), 1857-1934"
"Catt, Carrie Chapman, 1859-1947"
"Cattell, James McKeen, 1860-1944"
"Catton, Bruce, 1899-"
"Cavanagh, George, 1872-1950"
"Cavanagh, Jerome Patrick, 1928-1979"
"Cavanaugh, Jerome Patrick, 1928-1979"
"Cavanaugh, Martin J., 1866-"
"Cavender, George"
"Cavines, Jane"
"Cawling, Donald J"
"Cawthorne, Dennis"
"Cecil, Lee M"
"Cederberg, Elford Alfred, 1918-"
"Celebrezze, Anthony J., 1910-"
"Celler, Emanuel, 1888-"
"Cerf, Vinton G., 1940-"
"Chabrier, Emmanuel, 1841-1894"
Chabut. Jean
"Chadwick, John White, 1840-1904"
"Chafee, John H., 1922-"
"Chafin, Eugene W. (Eugene Wilder), 1852-1920"
"Chalmers, Allan Knight, 1897-"
"Chalmers, Hugh, 1873-1932"
"Chamberlain, Charles Ernest, 1917-"
"Chamberlain, Joshua Lawrence, 1828-1914"
"Chamberlain, Samuel Selwyn, 1851-1916"
"Chamberlin, John R"
"Chamberlin, Thomas C. (Thomas Chrowder), 1843-1928"
"Chamberlin, William Henry, 1897-1969"
"Chambers, David L., 1911-"
"Chambers, David Laurance, b. 1879"
"Chambers, Evan K., 1963-"
"Chambers, William Paris, 1854-1913"
"Chaminade, Cecile, 1857?-1944"
"Champion, Edouard, 1882-1938"
"Champlin, John Wayne, 1831-1901"
"Chand, Rup, 1902-1994"
"Chandler, Bert D"
"Chandler, Elizabeth Margaret, 1807-1834"
"Chandler, Elizabeth Margaret, 1835-1923"
"Chandler, F. W. (Francis Ward), 1844-1926"
"Chandler, George Moseley"
"Chandler, Happy, 1898-"
"Chandler, Henry"
"Chandler, Margaret Evans, 1778-1807"
"Chandler, Sarah Taylor"
"Chandler, Thomas, 1773-ca.1816"
"Chandler, Thomas, b. 1806"
"Chandler, William G"
"Chandler, Zachariah, 1813-1879"
"Chaney, Henry A"
"Chang, Wyszie Shionyu"
"Channing, Edward, 1856-1931"
"Chapin, Augusta J., d. 1905"
"Chapin, Charles A. (Charles Augustus)"
"Chapin, E. R"
"Chapin, Henry A. (Henry Austin), 1813-1898"
"Chapin, Lucy E., 1834-1910"
"Chapin, Roy D. (Roy Dikeman), 1880-1936"
"Chapin, Roy Dikeman, 1915-"
"Chaplin, Maxwell"
"Chapman, Carl Haley, 1915-"
"Chapman, Charles E. (Charles Edward), 1880-1941"
"Chapman, Fred A., 1878-1938"
"Chapman, Herman Haupt, 1874-1963"
"Chapman, Howard Rufus, 1868-1942"
"Chapman, Katie"
"Chapman, Oscar L. (Oscar Littleton), 1896-1978"
"Charles, Gordon"
"Charlesworth, James Clyde, 1900-"
"Charnetski, Clark J"
"Charnwood, Godfrey Rathbone Benson, Baron, 1864-1945"
"Charters, W. W. (Werrett Wallace), 1875-1952"
"Chase, A. W. (Alvin Wood), 1817-1885"
"Chase, Alberta"
"Chase, Cornelia, 1815-1905"
"Chase, Delia A"
"Chase, George Willey, b. 1840"
"Chase, Harry Woodburn, 1883-1955"
"Chase, Lew Allen, 1879-1957"
"Chase, Mary Ellen, 1887-1973"
"Chase, Salmon P. (Salmon Portland), 1808-1873"
"Chase, Stuart, 1888-1985"
"Chatterjee, Ramananda, 1865-1943"
"Chavez, Cesar, 1927-"
"Chavis, John"
"Chawke, Thomas F"
"Cheatham, Kitty, 1864?-1946"
"Cheesman, Jack D"
"Cheever, Byron William, 1841-1888"
"Chenevert, Basil J"
"Chennault, Claire Lee, 1890-1958"
"Cherrin, Daniel"
"Cherrington, Ernest Hurst, 1877-1950"
"Chester, Eric"
"Chevion, Dov"
"Cheyney, Ralph"
"Chiang, Kai-Shek 1887-1975"
"Chiang, May-ling Soong, 1897-"
"Chiang, May-ling Soong, 1897-2003"
"Child, Charles Gardner, 1908-"
"Childe, V. Gordon (Vere Gordon), 1892-1957"
"Childres, Jack"
"Childs, B. F"
"Childs, Harold Farnsworth"
"Childs, Joseph A"
"Childs, Marquis William, 1903-"
"Chilson, Elbert V"
"Chin, Vincent"
"Chinard, Gilbert, 1881-1972"
"Chipman, Dorothy, 1896-"
"Chipman, Henry C., 1784-1867"
"Chipman, Hope, 1900-1982"
"Chipman, Janet"
"Chirri, Mohamad Jawad"
"Chisholm, Frank P"
"Choate, Joseph Hodges, 1832-1917"
"Chomsky, Noam"
"Chorover, Stephan L"
"Chotiner, Murray M., 1909-1974"
"Chou, En-lai, 1898-1976"
"Christensen, A. Kent"
"Christensen, Ethlyn"
"Christensen, Halvor N"
"Christensen, John Cornelius, 1874-1952"
"Christgau, Oscar Gottlieb"
"Christian, David Palmer, 1885-1947"
"Christian, Palmer"
"Christiancy, G. C"
"Christiancy, Isaac Peckham, 1812-1890"
"Christiancy, Nathaniel L"
"Christman, Adam Arthur, 1896---Department of Biological Chemistry, 1922-1955--1978"
"Chriswell, Keith"
"Chrysler, Richard"
"Chrysler, Walter Percy, 1875-1940"
"Church, F. M"
"Church, Frank"
"Church, Michael P. (Michael Paul), 1907-"
"Church, William L"
"Churchill, Alfred Vance, 1864-1934"
"Churchill, Winston, Sir, 1874-1965"
"Ciardi, John, 1916-"
"Cimprich, Bernadine"
"Cisler, Walker Lee, 1897-"
"Cisney, Marcella"
"Cissel, James H. (James Harlan), 1889-"
"Cissel, James H. (James Harlan), b. 1889"
"Clague, Ashley, 1902-"
"Clancey, Thomas"
"Clancy, John Newman"
"Clancy, Robert Henry, 1882-1962"
"Claparède, Edouard, 1873-1940"
"Clapp, Earle Hart, 1877-"
"Clapper, Raymond, 1892-1944"
"Clardy, Kit Francis, 1892-"
"Clark, Champ, 1850-1921"
"Clark, Emory W"
"Clark, Frank Monroe, 1915-"
"Clark, Frederick Converse"
"Clark, Frederick Owen, b. 1842"
"Clark, George Brownell"
"Clark, Helen"
"Clark, Herbert Watson"
"Clark, Horace"
"Clark, Hubert Lyman, 1870-1947"
"Clark, Iva"
"Clark, J. Reuben (Joshua Reuben), 1871-1961"
"Clark, John Bates, 1847-1938"
"Clark, Joseph S"
"Clark, Mary H"
"Clark, Mary H., d. 1875"
"Clark, Max A. X"
"Clark, Noreen M"
"Clark, Rodger Sherman"
"Clark, Thomas Curtis, 1877-1953"
"Clark, Tom C. (Tom Campbell), 1899-1977"
"Clarke, Daniel"
"Clarke, Dell Deland"
"Clarke, Herbert L. (Herbert Lincoln), 1867-1945"
"Clarke, James Freeman, 1810-1888"
"Clarke, Mary Flint"
"Clarke, Peter"
"Clarke, William Flint"
"Classer, J. A"
"Claude, Georges, 1870-1960"
"Clauss, Julius A., 1886-1973"
"Claxton, Philander Priestley, 1862-1957"
"Claxton, William C"
"Clay, Grady"
"Clay, Lucius D. (Lucius DuBignon), 1897-1978"
"Clay, Margaret L"
"Clayberg, John Bertrand, 1853-1921"
Claybourn family
"Claybourn, Elsie Greiser"
"Claybourn, John Geronold, 1886-"
"Claybourn, Leslie W. (Leslie William), 1883-1956"
"Clayton, Powell, 1833-1914"
"Clayton, Will, 1880-1966"
"Claytor, Helen Jackson"
"Cleage, Albert B"
"Cleary, Gerald J"
"Cleary, Owen J., 1900-1960"
"Cleaver, Eldridge, 1935-1998"
"Clemens, Mary Strong, 1873-1968"
"Clement, Hugh B"
"Clements, James"
"Clements, Jessie Young"
"Clements, William L. (William Lawrence), 1861-1934"
"Clepper, Henry Edward, 1901-1987"
"Cleveland, Clyde"
"Cleveland, Frederick Albert, 1865-1946"
"Cleveland, Grover, 1837-1908"
"Cleveland, Harlan"
"Cleveland, James M., 1911-"
"Cleven, N. Andrew N. (Nels Andrew Nelson), 1874-1961"
